season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2009/10,V Kohli,ba607b88,253802,V Kohli,Virat Kohli,India,"November 05, 1988, Delhi",33y 8m 20d 0H 0M 0S,Right hand Bat,Right arm Medium,Top order Batter
2009/10,V Sehwag,8ba8195d,35263,V Sehwag,Virender Sehwag,India,"October 20, 1978, Delhi",43y 9m 5d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Top order Batter
2009/10,VRV Singh,034b4b7d,35281,VRV Singh,Vikram Raj Vir Singh,India,"September 17, 1984, Chandigarh, Punjab, India",37y 10m 8d 0H 0M 0S,Right hand Bat,Right arm Medium fast,NA
2009/10,VS Malik,5f26df4f,31738,VS Malik,Vikramjeet Singh Malik,India,"May 09, 1983, Vishakapatnam (Andhra)",39y 2m 16d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009/10,VVS Laxman,de8cce37,30750,VVS Laxman,Vangipurappu Venkata Sai Laxman,India,"November 01, 1974, Hyderabad, Andhra Pradesh",47y 8m 24d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Top order Batter
2009/10,VY Mahesh,93a17209,31732,VY Mahesh,Vijaykumar Yo Mahesh,India,"December 21, 1987, Madras (now Chennai), Tamil Nadu",34y 7m 4d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Allrounder
2009/10,WP Saha,fe11caa6,279810,WP Saha,Wriddhiman Prasanta Saha,India,"October 24, 1984, Shaktigarh",37y 9m 1d 0H 0M 0S,Right hand Bat,NA,Wicketkeeper Batter
2009/10,WPUJC Vaas,bcce309e,50804,WPUJC Vaas,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Sri Lanka,"January 27, 1974, Mattumagala",48y 5m 28d 0H 0M 0S,Left hand Bat,Left arm Fast medium,Bowler
2009/10,Y Nagar,662c47a6,317786,Y Nagar,Yogesh Nagar,India,"January 06, 1990, Wazirabad, Delhi",32y 6m 19d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2009/10,Y Venugopal Rao,fe763256,35805,Y Venugopal Rao,Yalaka Venugopal Rao,India,"February 26, 1982, Visakhapatnam, Andhra Pradesh",40y 4m 29d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Middle order Batter
2009/10,YA Abdulla,4353bba5,224367,YA Abdulla,Yusuf Adam Abdulla,South Africa,"January 17, 1983, Johannesburg, Transvaal",39y 6m 8d 0H 0M 0S,Left hand Bat,Left arm Fast medium,Bowler
2009/10,YK Pathan,3c6ffae8,32498,YK Pathan,Yusuf Khan Pathan,India,"November 17, 1982, Baroda, Gujarat",39y 8m 8d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Allrounder
2009/10,Yuvraj Singh,1c914163,36084,Yuvraj Singh,Yuvraj Singh,India,"December 12, 1981, Chandigarh",40y 7m 13d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
2009/10,Z Khan,91a4a398,30102,Z Khan,Zaheer Khan,India,"October 08, 1978, Shrirampur, Maharashtra",43y 9m 17d 0H 0M 0S,Right hand Bat,Left arm Fast medium,Bowler
2020/21,A Mishra,6b19d823,31107,A Mishra,Amit Mishra,India,"November 24, 1982, Delhi",39y 8m 1d 0H 0M 0S,Right hand Bat,Legbreak,Bowler
2020/21,A Nortje,acdc62f5,481979,A Nortje,Anrich Arno Nortje,South Africa,16-Nov-93,28y 8m 9d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2020/21,A Zampa,14f96089,379504,A Zampa,Adam Zampa,Australia,"March 31, 1992, Shellharbour, New South Wales",30y 3m 25d 0H 0M 0S,Right hand Bat,Legbreak Googly,Bowler
2020/21,AB de Villiers,c4487b84,44936,AB de Villiers,Abraham Benjamin de Villiers,South Africa,"February 17, 1984, Pretoria",38y 5m 8d 0H 0M 0S,Right hand Bat,Right arm Medium,Wicketkeeper Batter
